drug_name,confused_drug_name
abelcet,amphotericin b
accupril,aciphex
acetaminophen,acetazolamide
acetazolamide,acetohexamide
acetic acid for irrigation,glacial acetic acid
aciphex,aricept
activase,cathflo activase
activase,tnkase
actonel,actos
adacel,daptacel
adderall,adderall xr
adderall,inderal
ado-trastuzumab emtansine,trastuzumab
advair,advicor
advicor,altocor
afrin,afrin
aggrastat,argatroban
aldara,alora
alfentanil,fentanyl
alfentanil,sufentanil
alkeran,leukeran
alkeran,myleran
allegra,viagra
allegra,allegra anti-itch cream
alprazolam,clonazepam
alprazolam,lorazepam
amantadine,amiodarone
amaryl,reminyl
ambien,ambrisentan
ambisome,amphotericin b
amicar,omacor
amikin,kineret
amiloride,amlodipine
amphotericin b,amphotericin b liposomal
anacin,anacin-3
antacid,atacand
anticoagulant citrate dextrose solution formula a,anticoagulant sodium citrate solution
antivert,axert
anzemet,avandamet
apidra,spiriva
apixaban,axitinib
apresoline,priscoline
argatroban,orgaran
aricept,azilect
aripiprazole,proton pump inhibitors
aripiprazole,rabeprazole
arista ah,arixtra
asacol,os-cal
atomoxetine,atorvastatin
atrovent,natru-vent
avandia,coumadin
avandia,prandin
avinza,evista
avinza,invanz
azacitidine,azathioprine
b & o,beano
babybig,hbig
bamlanivimab,belimumab
bayhep-b,bayrab
bayhep-b,bayrho-d
bayrab,bayrho-d
benadryl,benazepril
benicar,mevacor
betadine,betadine
betaine,betaine hcl
bextra,zetia
bicillin c-r,bicillin l-a
bicitra,polycitra
bidex,videx
blisovi 24 fe,blisovi fe 1/20
bio-t-gel,t-gel
brethine,methergine
brevibloc,brevital
brilinta,brintellix
brilinta,briviact
bupivacaine,ropivacaine
buprenorphine,hydromorphone
bupropion,buspirone
cabenuva,cabotegravir
capadex,kapidex
capex,kapidex
captopril,carvedilol
carac,kuric
carbamazepine,oxcarbazepine
carboplatin,cisplatin
cardene,cardizem
cardura,coumadin
casodex,kapidex
cedax,cidex
cefazolin,cefotetan
cefazolin,cefoxitin
cefazolin,ceftazidime
cefazolin,ceftriaxone
cefotetan,cefoxitin
cefotetan,ceftazidime
cefotetan,ceftriaxone
cefoxitin,ceftazidime
cefoxitin,ceftriaxone
ceftazidime,ceftriaxone
cefuroxime,sulfasalazine
celebrex,celexa
celebrex,cerebyx
celexa,cerebyx
celexa,zyprexa
cetirizine,sertraline
cetirizine,stavudine
chlordiazepoxide,chlorpromazine
chlorpromazine,chlorpropamide
citalopram,escitalopram
clarispray,claritin
claritin,claritin eye
claritin-d,claritin-d 24
clindesse,clindets
clobazam,clonazepam
clomiphene,clomipramine
clonazepam,clonidine
clonazepam,clozapine
clonazepam,lorazepam
clonidine,clozapine
clonidine,klonopin
clozaril,colazal
coagulation factor ix,"factor ix complex, vapor heated"
codeine,lodine
coenzyme q10,cometriq
colace,cozaar
colchicine,cortrosyn
comvax,recombivax hb
covaryx hs,covera hs
cozaar,zocor
cubicin,cubicin rf
cyclophosphamide,cycloserine
cyclophosphamide,cyclosporine
cycloserine,cyclosporine
cyclosporine,cyclosporine modified
cymbalta,symbyax
dabigatran,vigabatrin
dactinomycin,daptomycin
darvocet,percocet
darvon,diovan
daunorubicin,daunorubicin liposomal
daunorubicin,doxorubicin
daunorubicin,idarubicin
denavir,indinavir
depakote,depakote er
depo-medrol,solu-medrol
depo-provera,depo-subq provera 104
desipramine,disopyramide
desmopressin,vasopressin
desyrel,seroquel
dexamethasone,dexmedetomidine
dexilant,duloxetine
dexmethylphenidate,dexmethylphenidate mixed salts
dexmethylphenidate,methadone
diabenese,diamox
diabeta,zebeta
diazepam,diltiazem
diflucan,diprivan
dilacor xr,pilocar
dilaudid,dilaudid-5
dimenhydrinate,diphenhydramine
dioval,diovan
diovan,zyban
diprivan,ditropan
dobutamine,dopamine
docetaxel,paclitaxel
doribax,zovirax
doxil,paxil
doxorubicin,doxorubicin liposomal
doxorubicin,idarubicin
dramamine,dramamine
dramamine,dramamine
dramamine,dramamine
dronabinol,droperidol
dulcolax,dulcolax
duloxetine,fluoxetine
duloxetine,paroxetine
durasal,durezol
duricef,ultracet
dynacin,dynacirc
edetate calcium disodium,edetate disodium
effexor,effexor xr
effexor xr,enablex
"elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide","elvitegravir, cobicistat, emtricitabine, and tenofovir disoproxil fumarate"
enbrel,levbid
engerix-b adult,engerix-b pediatric/adolescent
enjuvia,januvia
ephedrine,epinephrine
epirubicin,eribulin
estratest,estratest hs
ethambutol,ethmozine
ethaverine,etravirine
ethionamide,ethosuximide
fanapt,xanax
farxiga,fetzima
fastin,fastin
femara,femhrt
fentanyl,sufentanil
fioricet,fiorinal
flavoxate,fluvoxamine
flonase,flovent
floranex,florinef
florastor,florinef
flumazenil,influenza virus vaccine
fluoxetine,loxitane
fluoxetine,paroxetine
fluphenazine,fluvoxamine
fluzone high-dose quadrivalent,fluzone quadrivalent
focalgin b,focalin
folex,foltx
folic acid,folinic acid
fomepizole,omeprazole
foradil,fortical
foradil,toradol
gabapentin,gemfibrozil
gentamicin,gentian violet
glipizide,glyburide
glucotrol,glycotrol
granulex,regranex
guaifenesin,guanfacine
healon,hyalgan
heparin,hespan
hmg-coa reductase inhibitors,nystatin
humalog,humulin
humalog,novolog
humalog mix 75/25,humulin 70/30
humapen memoir,humira pen
humulin,novolin
humulin r u-100,humulin r u-500
hydralazine,hydrochlorothiazide
hydralazine,hydromorphone
hydralazine,hydroxyzine
hydrea,lyrica
hydrochlorothiazide,hydroxyzine
hydrochlorothiazide,hydroxychloroquine
hydrocodone,oxycodone
hydrogesic,hydroxyzine
hydromorphone,hydroxyzine
hydromorphone,morphine
hydromorphone,oxymorphone
hydroxychloroquine,hydroxyurea
hydroxyprogesterone,medroxyprogesterone
hydroxyurea,hydroxyzine
hydroxyurea,ure-na
idarubicin,idarucizumab
ilaris,ilumya
infliximab,rituximab
influenza virus vaccine,perflutren lipid microspheres
influenza virus vaccine,tuberculin purified protein derivative
inspra,spiriva
intuniv,invega
iodine,lodine
isordil,plendil
isotretinoin,tretinoin
jantoven,janumet
jantoven,januvia
janumet,januvia
janumet,sinemet
kadian,kapidex
kaletra,keppra
kaopectate,kaopectate
kay ciel,kayexalate
keflex,keppra
ketalar,ketorolac
ketamine,ketorolac
ketorolac,methadone
k-phos neutral,neutra-phos-k
kwell,qwell
labetalol,lamictal
labetalol,lamotrigine
lamictal,lamisil
lamivudine,lamotrigine
lamotrigine,levetiracetam
lamotrigine,levothyroxine
lanoxin,levothyroxine
lanoxin,naloxone
lanthanum carbonate,lithium carbonate
lantus,latuda
lantus,lente
lariam,levaquin
lasix,luvox
lasix,wakix
letairis,letaris
leucovorin calcium,leukeran
leucovorin calcium,levoleucovorin
leukeran,myleran
levemir,lovenox
levetiracetam,levocarnitine
levetiracetam,levofloxacin
levothyroxine,liothyronine
lexapro,loxitane
lexiva,pexeva
linaclotide,linagliptin
lipitor,loniten
lipitor,zyrtec
lithium,ultram
lopressor,lyrica
lorazepam,lovaza
lotronex,protonix
loxitane,soriatane
lunesta,neulasta
lupron depot-3 month,lupron depot-ped
maalox,maalox total stomach relief
malarone,mefloquine
materna,matulane
maxzide,microzide
medroxyprogesterone,methylprednisolone
medroxyprogesterone,methyltestosterone
memantine,methadone
menactra,menomune
mephyton,methadone
metadate,methadone
metadate cd,metadate er
metadate er,methadone
metformin,metronidazole
methadone,methylphenidate
methadone,metolazone
methazolamide,methimazole
methazolamide,metolazone
methimazole,metolazone
methotrexate,metolazone
methotrexate,mtx patch
methylene blue,visionblue
methylprednisolone,methyltestosterone
metoprolol succinate,metoprolol tartrate
metyrapone,metyrosine
micronase,microzide
midodrine,midrin
mifepristone,misoprostol
migalastat,miglustat
minoxidil,minoxidin
miralax,mirapex
mitomycin,mitoxantrone
mitoxantrone,mtx patch
morphine - non-concentrated oral liquid,morphine - oral liquid concentrate
motrin,neurontin
ms contin,oxycontin
mucinex,mucomyst
mucinex,mucinex allergy
mucinex d,mucinex dm
nalbuphine,naloxone
narcan,norcuron
navane,norvasc
neo-synephrine,neo-synephrine
neo-synephrine,neostigmine
neratinib,nilotinib
neratinib,niraparib
neulasta,neumega
neulasta,nuedexta
neumega,neupogen
neurontin,noroxin
nexavar,nexium
nicardipine,nifedipine
nicardipine,nimodipine
nifedipine,nimodipine
nilotinib,niraparib
nizatidine,tizanidine
normodyne,norpramin
novolin,novolog
novolin 70/30,novolog mix 70/30
novolog flexpen,novolog mix 70/30 flexpen
occlusal-hp,ocuflox
olanzapine,quetiapine
opium tincture,paregoric
oracea,orencia
ortho tri-cyclen,ortho tri-cyclen lo
oxaprozin,oxcarbazepine
oxybutynin,oxycodone
oxybutynin,oxycontin
oxybutynin,oxymorphone
oxycodone,oxycontin
oxycodone,oxymorphone
oxycontin,oxymorphone
oxycontin,oxytocin
paclitaxel,paclitaxel protein-bound particles
pamelor,panlor dc
pamelor,tambocor
paroxetine,piroxicam
patanol,platinol
pavulon,peptavlon
paxil,plavix
paxil,taxol
paxil,trexall
pazopanib,ponatinib
pemetrexed,pralatrexate
penicillamine,penicillin
pentobarbital,phenobarbital
percocet,procet
physostigmine,pyridostigmine
pitocin,pitressin
plavix,pradax
plavix,pradaxa
pneumococcal 7-valent vaccine,pneumococcal polyvalent vaccine
polyethylene glycol,propylene glycol
potassium acetate,sodium acetate
pralidoxime,pyridoxine
precare,precose
prednisolone,prednisone
prenexa,ranexa
prilosec,pristiq
prilosec,prozac
probenecid,procanbid
procan sr,procanbid
procardia xl,protain xl
prograf,proscar
prograf,prozac
propylthiouracil,purinethol
proscar,provera
protamine,protonix
provera,prozac
pyridium,pyridoxine
pyridostigmine,pyridoxine
quinidine,quinine
ranitidine,rimantadine
rapaflo,rapamune
rasageline,repaglinide
razadyne,rozerem
remeron,rozerem
reminyl,robinul
renagel,renvela
reprexain,zyprexa
restoril,risperdal
retrovir,ritonavir
ribavirin,riboflavin
rifabutin,rifapentine
rifadin,rifater
rifamate,rifampin
rifampin,rifaximin
risperdal,ropinirole
risperidone,ropinirole
ritalin,ritodrine
ritalin la,ritalin sr
rituxan,rituxan hycela
rocuronium,romazicon
romidepsin,romiplostim
roxanol,roxicet
roxanol,roxicodone intensol
salagen,selegiline
sandimmune,sandostatin
saquinavir,sinequan
saquinavir,saquinavir mesylate
sarafem,serophene
saxagliptin,sitagliptin
seroquel,seroquel xr
seroquel,serzone
seroquel,sinequan
sertraline,soriatane
silodosin,sirolimus
sinequan,singulair
sinequan,zeniquin
sinequan,zonegran
sitagliptin,sumatriptan
slynd,syeda
solu-cortef,solu-medrol
sonata,soriatane
sorafenib,sunitinib
sotalol,sudafed
spravato,steglatro
sudafed,sudafed pe
sudafed 12 hour,sudafed 12 hour pressure + pain
sulfadiazine,sulfasalazine
sulfadiazine,sulfisoxazole
sumatriptan,zolmitriptan
tacrolimus,tamsulosin
talquetamab-tgvs,teclistamab-cqyv
talvey,tecvayli
tanzeum,toujeo
tanzeum,tradjenta
tanzeum,tresiba
tanzeum,trulicity
tarceva,tresiba
taxol,taxotere
tegretol,tegretol xr
tegretol,tequin
tegretol,trental
tenex,xanax
tequin,ticlid
terbinafine,terbutaline
testoderm,testoderm tts
testoderm,testoderm with adhesive
testoderm tts,testoderm with adhesive
tetanus diptheria toxoid,tuberculin purified protein derivative
thalomid,thiamine
thrombate iii,thrombin topical
tiagabine,tizanidine
tiazac,ziac
tnkase,t-pa
tobradex,tobrex
tolazamide,tolbutamide
topamax,toprol-xl
toujeo,tradjenta
toujeo,tresiba
toujeo,trulicity
tracleer,tricor
tradjenta,tresiba
tradjenta,trulicity
tramadol,trazodone
tresiba,trulicity
tromethamine,trophamine
tylenol,tylenol pm
valacyclovir,valganciclovir
valcyte,valtrex
varivax,vzig
venofer,vfend
venofer,vimpat
vesanoid,vesicare
vesicare,vessel care
vexol,vosol
vfend,vimpat
vicodin,visicol
vinblastine,vincristine
viokase,viokase 8
vioxx,zyvox
viracept,viramune
viramune,viramune
volumen,voluven
wellbutrin sr,wellbutrin xl
xanax,zantac
xeloda,xenical
yasmin,yaz
zantac,zantac 360
zantac,zyrtec
zavesca,zavesca
zebeta,zetia
zegerid,zestril
zelapar,zyprexa zydis
zemplar,zemuron
zerit,zyrtec
zestril,zetia
zestril,zyprexa
zocor,zyrtec
zolpidem,zyloprim
zostrix,zovirax
zovirax,zyvox
zyprexa,zyrtec
zyrtec,zyrtec-d
zyrtec,zyrtec itchy eye drops
